country,year,IS_point,IS_mean,IS_std,CI_lo,CI_hi,CI_width,zone,zone_stable,override
Romania,2005,56.33,56.32,0.58,55.22,57.42,2.2,HIGH,99.3,False
Romania,2006,56.33,56.35,0.59,55.18,57.47,2.29,HIGH,99.2,False
Romania,2007,54.93,54.87,0.73,53.54,56.29,2.75,MODERATE,55.7,False
Romania,2008,54.93,54.88,0.72,53.46,56.22,2.75,MODERATE,55.2,False
Romania,2009,53.84,53.93,0.75,52.56,55.36,2.8,MODERATE,91.1,False
Romania,2010,53.84,53.93,0.74,52.57,55.36,2.79,MODERATE,91.3,False
Romania,2011,55.54,55.48,0.83,53.94,57.05,3.11,HIGH,70.3,False
Romania,2012,56.35,56.32,0.82,54.74,57.89,3.15,HIGH,94.9,False
Romania,2013,53.64,53.92,0.75,52.54,55.41,2.87,MODERATE,91.3,False
Romania,2014,53.03,53.33,0.69,52.09,54.6,2.51,MODERATE,99.5,False
Romania,2015,52.23,52.33,0.76,50.87,53.78,2.91,MODERATE,100.0,False
Romania,2016,52.23,52.36,0.75,50.94,53.85,2.91,MODERATE,100.0,False
Romania,2017,53.03,53.28,0.7,52.03,54.69,2.65,MODERATE,99.4,False
Romania,2018,54.13,54.24,0.72,52.96,55.69,2.73,MODERATE,84.9,False
Romania,2019,54.74,54.87,0.75,53.39,56.33,2.94,MODERATE,58.4,False
Romania,2020,54.45,54.74,0.81,53.26,56.36,3.1,MODERATE,62.4,False
Romania,2021,54.45,54.71,0.8,53.27,56.18,2.91,MODERATE,64.0,False
Romania,2022,54.45,54.71,0.8,53.25,56.18,2.93,MODERATE,62.5,False
Romania,2023,53.65,53.72,0.85,52.04,55.37,3.32,MODERATE,93.3,False
Romania,2024,57.56,57.51,0.91,55.76,59.18,3.42,HIGH,100.0,True
Hungary,2005,49.99,49.8,0.75,48.29,51.14,2.85,MODERATE,100.0,False
Hungary,2006,49.99,49.82,0.79,48.19,51.2,3.01,MODERATE,100.0,False
Hungary,2007,49.99,49.82,0.74,48.21,51.18,2.97,MODERATE,100.0,False
Hungary,2008,49.99,49.81,0.77,48.2,51.15,2.96,MODERATE,100.0,False
Hungary,2009,50.84,50.91,0.75,49.44,52.3,2.86,MODERATE,100.0,False
Hungary,2010,52.13,52.37,0.71,51.1,53.82,2.72,MODERATE,100.0,False
Hungary,2011,60.36,60.35,0.49,59.43,61.27,1.84,HIGH,100.0,True
Hungary,2012,58.94,58.97,0.77,57.58,60.47,2.88,HIGH,100.0,False
Hungary,2013,62.21,62.19,0.76,60.72,63.58,2.86,HIGH,100.0,False
Hungary,2014,67.17,67.25,0.36,66.59,67.91,1.32,HIGH,100.0,True
Hungary,2015,65.46,65.35,0.57,64.19,66.35,2.16,HIGH,100.0,False
Hungary,2016,66.02,65.89,0.54,64.82,66.86,2.04,HIGH,100.0,False
Hungary,2017,67.05,66.95,0.35,66.24,67.57,1.34,HIGH,100.0,False
Hungary,2018,67.44,67.37,0.31,66.73,67.93,1.2,HIGH,100.0,False
Hungary,2019,67.8,67.75,0.36,67.08,68.46,1.38,HIGH,100.0,False
Hungary,2020,68.38,68.36,0.48,67.51,69.24,1.73,HIGH,100.0,False
Hungary,2021,68.4,68.38,0.45,67.57,69.19,1.62,HIGH,100.0,False
Hungary,2022,68.4,68.39,0.46,67.56,69.23,1.66,HIGH,100.0,False
Hungary,2023,68.4,68.4,0.46,67.59,69.21,1.62,HIGH,100.0,False
Hungary,2024,68.43,68.43,0.47,67.62,69.28,1.66,HIGH,100.0,False
Poland,2005,46.58,46.46,1.12,44.32,48.53,4.2,MODERATE,100.0,False
Poland,2006,46.58,46.45,1.12,44.19,48.51,4.32,MODERATE,100.0,False
Poland,2007,43.72,43.75,1.2,41.41,46.0,4.59,MODERATE,100.0,False
Poland,2008,43.72,43.73,1.22,41.42,46.04,4.62,MODERATE,100.0,False
Poland,2009,43.72,43.76,1.2,41.58,45.99,4.42,MODERATE,100.0,False
Poland,2010,43.72,43.71,1.21,41.51,46.12,4.62,MODERATE,100.0,False
Poland,2011,43.72,43.72,1.19,41.54,46.08,4.55,MODERATE,100.0,False
Poland,2012,42.33,42.37,1.17,40.28,44.61,4.33,MODERATE,99.4,False
Poland,2013,42.33,42.43,1.16,40.27,44.71,4.44,MODERATE,99.2,False
Poland,2014,42.33,42.48,1.19,40.25,44.83,4.58,MODERATE,99.4,False
Poland,2015,51.41,51.51,0.79,50.19,53.02,2.83,MODERATE,100.0,True
Poland,2016,47.66,47.55,1.09,45.45,49.51,4.07,MODERATE,100.0,False
Poland,2017,51.99,51.82,0.9,50.04,53.48,3.44,MODERATE,100.0,False
Poland,2018,54.6,54.46,0.62,53.19,55.59,2.4,MODERATE,80.3,False
Poland,2019,61.66,61.7,0.53,60.75,62.74,1.99,HIGH,100.0,True
Poland,2020,57.55,57.73,0.77,56.32,59.22,2.9,HIGH,100.0,False
Poland,2021,57.55,57.79,0.76,56.39,59.37,2.98,HIGH,100.0,False
Poland,2022,57.55,57.74,0.76,56.29,59.26,2.97,HIGH,100.0,False
Poland,2023,56.08,56.22,0.62,55.12,57.5,2.38,HIGH,98.9,False
Poland,2024,54.6,54.49,0.61,53.27,55.61,2.34,MODERATE,79.5,False
